average_speed,maximum_speed,minimum_speed,acceleration_rates
17.2799454,23.084553,10.210236,1.0
27.6939683,29.793425,24.168154,0.8
20.981443,25.413612,16.830027,0.0
9.8028145,9.8028145,9.8028145,0.0
9.8028145,9.8028145,9.8028145,0.0
2.7515967,5.5031934,0.0,0.0
0.0,0.0,0.0,0.0
12.364746433333332,18.159868,7.3539863,1.0
18.159868,18.159868,18.159868,0.0
21.717886,22.36087,21.074902,1.0
23.115149,23.115149,23.115149,0.25
18.735488,19.726498,17.744478,0.0
17.358643,17.358643,17.358643,0.0
18.726252,18.726252,18.726252,0.25
18.726252,18.726252,18.726252,0.0
20.510506,20.510506,20.510506,0.25
20.746212,20.746212,20.746212,0.25
15.793397666666669,18.974844,12.32594,0.0
12.32594,12.32594,12.32594,0.0
6.306913625000001,10.282851,0.0,0.0
0.0,0.0,0.0,0.0
9.788365,9.788365,9.788365,0.25
9.583252,9.583252,9.583252,0.0
12.5071605,13.377464,11.636857,1.0
14.327151,14.327151,14.327151,0.25
16.870108,16.870108,16.870108,0.25
17.950434714285713,18.999279,16.870108,0.7142857142857143
16.489475,16.489475,16.489475,0.0
16.8243302,18.74745,15.719696,0.6
22.229630999999998,23.264122,21.19514,1.0
26.122406000000005,27.46232,24.235542,0.7142857142857143
18.38414475,24.107857,12.56303,0.0
