,SPEED
3358,-3.784597999999999
3359,-3.854299000000001
3360,-2.907824999999999
3361,-1.3628300000000007
3365,-0.24094000000000015
3366,-3.940251999999999
3373,-0.34504900000000305
3374,-2.441520999999998
3376,-3.462441
3377,-2.624593000000001
3378,-2.4866979999999987
3382,-0.7494809999999994
3384,-1.397323
3385,-2.200132
3387,-1.8233120000000014
3390,-0.1094899999999992
3391,-0.5155370000000001
3410,-1.309032000000002
3411,-0.6744739999999965
3412,-0.12377399999999739
3413,-0.7564960000000056
3414,-0.21711799999999926
3420,-1.7818880000000021
3421,-0.8226719999999972
3425,-1.9415620000000047
3426,-2.344327
3427,-5.668509999999998
3428,-8.198757
3429,-7.3720300000000005
3430,-2.0885429999999996
3431,-5.350973000000001
3432,-3.2672955999999997
3433,-1.3099144
3446,-0.9213529999999999
3447,-1.148613000000001
3449,-0.5143000000000022
3456,-0.6592579999999977
3459,-1.7123830000000027
3460,-0.5761029999999998
3461,-1.2457239999999992
3462,-6.590026999999999
3463,-6.70786
3464,-5.4748663
3465,-3.1139067
3466,-0.37033640000000023
3467,-2.9193056
3469,-1.1390672
3470,-2.6803498
3472,-0.42427516
3551,-7.8204460000000005
3553,-3.177220000000002
3554,-2.6104309999999984
3559,-1.068874000000001
3560,-1.5453170000000007
3561,-3.208095
3562,-1.0921649999999978
3563,-3.724172000000001
3564,-7.8733787
3566,-2.5716240000000004
3567,-2.3770483
3569,-2.346221
3661,-1.0389290000000004
3666,-0.527000000000001
3674,-2.2516840000000045
3675,-0.7403860000000009
3676,-0.8009199999999979
3677,-1.8868439999999964
3678,-1.7768100000000047
3679,-2.0844960000000015
3680,-0.5873449999999991
3681,-1.194314999999996
3682,-0.9397200000000012
3684,-3.012730000000005
3687,-0.7230119999999971
3688,-4.495871000000001
3690,-0.7473430000000008
3691,-0.35882400000000203
3697,-0.1462140000000005
3698,-2.0636359999999954
3699,-3.196435000000001
3700,-0.2056369999999994
3702,-1.4941159999999982
3703,-0.9146999999999998
3704,-1.6765550000000005
3705,-0.6943610000000007
3708,-0.06919300000000206
3712,-1.0106519999999968
3715,-0.9409469999999978
3726,-1.2338179999999994
3727,-1.5073360000000022
3729,-0.856669999999994
3730,-0.7241190000000017
3731,-1.1565590000000014
3732,-2.133023999999999
3736,-0.004329999999999501
3738,-0.14317700000000144
3739,-0.2057799999999972
3741,-0.47314599999999984
3753,-1.3750610000000023
3754,-0.7535209999999992
3756,-0.32608100000000206
3757,-0.7028809999999979
3758,-1.908844000000002
3759,-0.7572059999999965
3761,-0.3122290000000021
3763,-0.8087389999999957
3764,-0.06866000000000128
3769,-1.7632910000000024
3770,-5.299721999999999
3771,-5.859328000000001
3772,-2.561278999999999
3773,-2.226162000000002
3774,-3.9273999999999987
3775,-2.9154370000000007
3776,-1.5098155000000002
3777,-1.3598175000000001
3788,-0.725716000000002
3789,-1.439544999999999
3790,-2.1140700000000017
3792,-3.9310649999999967
3793,-0.5845680000000009
3794,-0.2625710000000012
3795,-0.3883270000000003
3804,-1.3690950000000015
3806,-0.12129600000000096
3807,-0.16829299999999847
3808,-0.14216900000000265
3809,-0.47656699999999574
3810,-1.0012469999999993
3811,-0.9049200000000042
3812,-1.9238229999999987
3813,-2.411397000000001
3814,-4.769551
3816,-2.0425359999999984
3817,-1.9524429999999988
3818,-2.422283
3819,-2.214996000000003
3820,-3.845439999999998
3821,-4.505345
3822,-2.6421476999999998
3823,-1.8768193000000002
3824,-1.2557824000000002
3825,-1.8358003999999997
3826,-1.0296415
3827,-1.7082347
3863,-0.25059000000000253
3864,-3.3720050000000015
3865,-2.099133000000002
3866,-1.1413949999999957
3867,-3.7651160000000026
3868,-3.406953999999999
3869,-2.261526
3870,-1.5022310000000019
3871,-1.287977999999999
3872,-1.063644
3873,-1.1825119999999991
3874,-7.439312000000001
3875,-3.0254439999999985
3877,-8.46596
3881,-0.05451139999999999
3891,-0.6884049999999995
3892,-0.09326799999999835
3896,-0.5658209999999997
3897,-0.5604089999999999
3905,-0.5119279999999975
3906,-0.540105000000004
3907,-0.7187199999999976
3908,-1.2635660000000009
3909,-4.879705000000001
3911,-0.4328800000000008
3912,-0.06586099999999817
3913,-0.919785000000001
3914,-0.3090779999999995
3916,-0.5446670000000005
3917,-1.439185000000002
3919,-0.6908569999999976
3920,-1.6865350000000028
3921,-0.9761549999999986
3922,-1.850394999999999
3923,-1.2987080000000013
3944,-0.13233999999999924
3954,-0.425296000000003
3955,-0.20314400000000177
3956,-1.4972269999999952
3957,-2.120457000000002
3958,-3.134563
3959,-3.8530159999999967
3960,-3.280712000000001
3961,-2.2337990000000048
3962,-2.596715999999997
3963,-2.146740000000001
3964,-2.369989999999998
3965,-3.072261000000001
3966,-3.196439999999999
3967,-3.5950590000000027
3968,-3.192570999999999
3969,-2.296704499999999
3970,-1.8285394999999998
3971,-2.1663364000000005
3972,-1.9691638999999999
3973,-2.8270545
3974,-1.9927602
4002,-0.33789099999999905
4003,-0.44769600000000054
4004,-0.8091800000000049
4005,-1.0913399999999953
4006,-0.6257140000000021
4007,-2.9249229999999997
4009,-1.1302570000000003
4010,-0.7487909999999971
4011,-1.843795
4012,-3.694264000000004
4013,-2.5142859999999985
4014,-0.9647100000000002
4015,-1.3084260000000008
4017,-0.47157100000000085
4020,-1.1323930000000004
4021,-0.6969999999999992
4022,-0.0670970000000004
4034,-0.34101100000000173
4035,-0.49136299999999977
4036,-1.182655000000004
4037,-1.3991589999999974
4039,-0.9120860000000022
4040,-0.7543099999999967
4041,-1.2855500000000006
4042,-0.954189999999997
