,acceleration,SPEED,Frequency
364,-2.2,17.0,1.2852930768116849e-06
365,-2.2,18.0,1.7137241024155797e-06
366,-2.2,19.0,4.2843102560389494e-07
367,-2.2,20.0,1.2852930768116849e-06
368,-2.2,21.0,1.7137241024155797e-06
369,-2.2,22.0,8.568620512077899e-07
370,-2.2,23.0,1.2852930768116849e-06
371,-2.2,24.0,2.142155128019475e-06
372,-2.2,25.0,1.2852930768116849e-06
373,-2.2,26.0,2.5705861536233697e-06
374,-2.2,27.0,4.2843102560389494e-07
375,-2.2,29.0,2.142155128019475e-06
376,-2.2,30.0,4.2843102560389494e-07
377,-2.2,31.0,4.2843102560389494e-07
378,-2.2,33.0,4.2843102560389494e-07
379,-2.2,35.0,4.2843102560389494e-07
380,-2.2,36.0,8.568620512077899e-07
381,-2.2,37.0,4.2843102560389494e-07
382,-2.2,38.0,4.2843102560389494e-07
383,-2.2,40.0,4.2843102560389494e-07
384,-2.2,43.0,4.2843102560389494e-07
385,-2.2,46.0,4.2843102560389494e-07
386,-2.2,53.0,4.2843102560389494e-07
387,-2.1,1.0,8.183032589034393e-05
388,-2.1,2.0,0.0001439528246029087
389,-2.1,3.0,2.484899948502591e-05
390,-2.1,4.0,3.4274482048311595e-06
391,-2.1,5.0,8.140189486474004e-06
392,-2.1,6.0,1.4138223844928534e-05
393,-2.1,7.0,5.998034358454529e-06
394,-2.1,14.0,4.2843102560389494e-07
395,-2.1,17.0,2.9990171792272646e-06
396,-2.1,18.0,1.2852930768116849e-06
397,-2.1,19.0,1.2852930768116849e-06
398,-2.1,20.0,2.142155128019475e-06
399,-2.1,21.0,1.7137241024155797e-06
400,-2.1,22.0,1.7137241024155797e-06
401,-2.1,23.0,1.2852930768116849e-06
402,-2.1,24.0,2.5705861536233697e-06
403,-2.1,25.0,2.9990171792272646e-06
404,-2.1,26.0,3.4274482048311595e-06
405,-2.1,27.0,1.2852930768116849e-06
406,-2.1,28.0,2.5705861536233697e-06
407,-2.1,29.0,1.7137241024155797e-06
408,-2.1,30.0,2.5705861536233697e-06
409,-2.1,31.0,2.142155128019475e-06
410,-2.1,32.0,1.2852930768116849e-06
411,-2.1,34.0,2.5705861536233697e-06
412,-2.1,35.0,4.2843102560389494e-07
413,-2.1,36.0,8.568620512077899e-07
414,-2.1,37.0,8.568620512077899e-07
415,-2.1,38.0,1.7137241024155797e-06
416,-2.1,39.0,4.2843102560389494e-07
417,-2.1,40.0,4.2843102560389494e-07
418,-2.1,41.0,4.2843102560389494e-07
419,-2.1,42.0,8.568620512077899e-07
420,-2.1,46.0,1.7137241024155797e-06
421,-2.1,47.0,4.2843102560389494e-07
422,-2.0,1.0,4.926956794444792e-05
423,-2.0,2.0,7.711758460870109e-05
424,-2.0,3.0,2.3563706408214223e-05
425,-2.0,4.0,1.2852930768116849e-06
426,-2.0,5.0,5.1411723072467395e-06
427,-2.0,6.0,8.997051537681793e-06
428,-2.0,7.0,4.28431025603895e-06
429,-2.0,14.0,8.568620512077899e-07
430,-2.0,16.0,1.2852930768116849e-06
431,-2.0,17.0,8.568620512077899e-07
432,-2.0,18.0,3.855879230435055e-06
433,-2.0,19.0,8.568620512077899e-07
434,-2.0,20.0,3.4274482048311595e-06
435,-2.0,21.0,2.5705861536233697e-06
436,-2.0,22.0,1.7137241024155797e-06
437,-2.0,23.0,1.2852930768116849e-06
438,-2.0,24.0,3.4274482048311595e-06
439,-2.0,25.0,1.7137241024155797e-06
440,-2.0,26.0,2.5705861536233697e-06
441,-2.0,27.0,8.568620512077899e-07
442,-2.0,28.0,4.28431025603895e-06
443,-2.0,29.0,8.568620512077899e-07
444,-2.0,30.0,2.5705861536233697e-06
445,-2.0,31.0,1.7137241024155797e-06
446,-2.0,32.0,1.2852930768116849e-06
447,-2.0,33.0,8.568620512077899e-07
448,-2.0,34.0,2.142155128019475e-06
449,-2.0,35.0,8.568620512077899e-07
450,-2.0,40.0,1.7137241024155797e-06
451,-2.0,41.0,4.2843102560389494e-07
452,-2.0,42.0,1.2852930768116849e-06
453,-2.0,45.0,4.2843102560389494e-07
454,-2.0,48.0,4.2843102560389494e-07
455,-2.0,50.0,4.2843102560389494e-07
456,-1.9,1.0,7.754601563430499e-05
457,-1.9,2.0,0.00015037928998696713
458,-1.9,3.0,2.442056845942201e-05
459,-1.9,4.0,3.855879230435055e-06
460,-1.9,5.0,5.998034358454529e-06
461,-1.9,6.0,1.2424499742512954e-05
462,-1.9,7.0,6.854896409662319e-06
463,-1.9,11.0,1.2852930768116849e-06
464,-1.9,12.0,8.568620512077899e-07
465,-1.9,13.0,4.2843102560389494e-07
466,-1.9,14.0,4.2843102560389494e-07
467,-1.9,15.0,4.2843102560389494e-07
468,-1.9,16.0,2.142155128019475e-06
469,-1.9,17.0,1.7137241024155797e-06
470,-1.9,18.0,4.28431025603895e-06
471,-1.9,19.0,5.1411723072467395e-06
472,-1.9,20.0,4.28431025603895e-06
473,-1.9,21.0,2.9990171792272646e-06
474,-1.9,22.0,7.71175846087011e-06
475,-1.9,23.0,1.7137241024155797e-06
476,-1.9,24.0,6.854896409662319e-06
477,-1.9,25.0,3.4274482048311595e-06
478,-1.9,26.0,4.28431025603895e-06
479,-1.9,27.0,5.569603332850634e-06
480,-1.9,28.0,5.998034358454529e-06
481,-1.9,29.0,4.7127412816428446e-06
482,-1.9,30.0,1.7137241024155797e-06
483,-1.9,31.0,2.9990171792272646e-06
484,-1.9,32.0,4.28431025603895e-06
485,-1.9,33.0,2.5705861536233697e-06
486,-1.9,34.0,1.7137241024155797e-06
487,-1.9,35.0,2.142155128019475e-06
488,-1.9,36.0,1.7137241024155797e-06
489,-1.9,37.0,1.7137241024155797e-06
490,-1.9,38.0,2.5705861536233697e-06
491,-1.9,39.0,1.7137241024155797e-06
492,-1.9,40.0,8.568620512077899e-07
493,-1.9,41.0,8.568620512077899e-07
494,-1.9,42.0,8.568620512077899e-07
495,-1.9,43.0,8.568620512077899e-07
496,-1.9,44.0,8.568620512077899e-07
497,-1.9,45.0,1.2852930768116849e-06
498,-1.9,47.0,8.568620512077899e-07
499,-1.9,48.0,4.2843102560389494e-07
500,-1.9,51.0,8.568620512077899e-07
501,-1.9,54.0,4.2843102560389494e-07
502,-1.9,56.0,4.2843102560389494e-07
503,-1.8,1.0,8.48293430695712e-05
504,-1.8,2.0,0.0001340989110140191
505,-1.8,3.0,2.3992137433818117e-05
506,-1.8,4.0,1.7137241024155797e-06
507,-1.8,5.0,3.855879230435055e-06
508,-1.8,6.0,1.0282344614493479e-05
509,-1.8,7.0,5.998034358454529e-06
510,-1.8,10.0,8.568620512077899e-07
511,-1.8,11.0,4.2843102560389494e-07
512,-1.8,12.0,4.2843102560389494e-07
513,-1.8,14.0,1.2852930768116849e-06
514,-1.8,15.0,4.2843102560389494e-07
515,-1.8,16.0,1.7137241024155797e-06
516,-1.8,17.0,4.28431025603895e-06
517,-1.8,18.0,5.569603332850634e-06
518,-1.8,19.0,9.853913588889583e-06
519,-1.8,20.0,1.0710775640097375e-05
520,-1.8,21.0,1.0710775640097375e-05
521,-1.8,22.0,1.2852930768116848e-05
522,-1.8,23.0,6.426465384058424e-06
523,-1.8,24.0,1.0710775640097375e-05
524,-1.8,25.0,6.854896409662319e-06
525,-1.8,26.0,1.1139206665701269e-05
526,-1.8,27.0,4.28431025603895e-06
527,-1.8,28.0,5.1411723072467395e-06
528,-1.8,29.0,3.4274482048311595e-06
529,-1.8,30.0,5.1411723072467395e-06
530,-1.8,31.0,3.855879230435055e-06
531,-1.8,32.0,4.28431025603895e-06
532,-1.8,33.0,1.7137241024155797e-06
533,-1.8,34.0,3.4274482048311595e-06
534,-1.8,35.0,1.2852930768116849e-06
535,-1.8,36.0,3.855879230435055e-06
536,-1.8,37.0,1.7137241024155797e-06
537,-1.8,38.0,1.7137241024155797e-06
538,-1.8,39.0,1.2852930768116849e-06
539,-1.8,40.0,2.9990171792272646e-06
540,-1.8,41.0,1.2852930768116849e-06
541,-1.8,42.0,8.568620512077899e-07
542,-1.8,43.0,4.2843102560389494e-07
543,-1.8,44.0,8.568620512077899e-07
544,-1.8,45.0,4.2843102560389494e-07
545,-1.8,46.0,8.568620512077899e-07
546,-1.8,47.0,8.568620512077899e-07
547,-1.8,48.0,8.568620512077899e-07
548,-1.8,49.0,4.2843102560389494e-07
549,-1.8,50.0,8.568620512077899e-07
550,-1.8,51.0,8.568620512077899e-07
551,-1.8,54.0,8.568620512077899e-07
552,-1.8,61.0,4.2843102560389494e-07
553,-1.7,1.0,5.012642999565571e-05
554,-1.7,2.0,8.825679127440235e-05
555,-1.7,3.0,2.9561740766668753e-05
556,-1.7,4.0,8.568620512077899e-07
